# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_impact_MODIFIER	variants_effect_3_prime_UTR_variant	variants_effect_5_prime_UTR_premature_start_codon_gain_variant	variants_effect_5_prime_UTR_variant	variants_effect_downstream_gene_variant	variants_effect_initiator_codon_variant	variants_effect_intron_variant	variants_effect_missense_variant	variants_effect_non_canonical_start_codon	variants_effect_protein_protein_contact	variants_effect_rare_amino_acid_variant	variants_effect_sequence_feature	variants_effect_splice_acceptor_variant	variants_effect_splice_donor_variant	variants_effect_splice_region_variant	variants_effect_start_lost	variants_effect_stop_gained	variants_effect_stop_lost	variants_effect_stop_retained_variant	variants_effect_synonymous_variant	variants_effect_upstream_gene_variant
A1BG	ENSG00000121410	ENST00000263100	protein_coding	234	9626	3206	14061	516	19	186	1683	2	1632	3170	0	0	0	8238	42	42	387	7	135	8	1	1141	10380
A1CF	ENSG00000148584	ENST00000282641	protein_coding	408	1809	3847	3516	486	88	564	117	2	2808	3847	0	0	0	0	72	72	657	7	249	8	1	1241	117
A2M	ENSG00000175899	ENST00000318602	protein_coding	1000	23530	9683	8001	333	142	924	117	2	8190	9611	0	0	0	19107	210	210	1899	7	565	8	1	3081	117
A2ML1	ENSG00000166535	ENST00000299698	protein_coding	991	19739	9561	9471	2187	69	540	117	2	8190	9516	0	0	0	15426	210	210	1899	7	556	8	1	3005	117
A3GALT2	ENSG00000184389	ENST00000442999	protein_coding	170	896	2195	2550	0	0	0	117	2	936	2195	0	0	0	0	24	24	225	7	107	8	1	749	1689
A4GALT	ENSG00000128274	ENST00000249005	protein_coding	130	943	2287	3294	2307	99	567	117	2	234	2287	0	0	0	0	6	6	63	7	103	8	1	778	117
A4GNT	ENSG00000118017	ENST00000236709	protein_coding	175	4190	2283	2850	1638	99	606	117	2	468	2247	0	0	0	3357	12	12	117	7	137	7	2	667	117
AAAS	ENSG00000094914	ENST00000209873	protein_coding	359	6736	3594	7500	99	69	498	3720	2	3510	3495	0	0	0	4968	90	90	819	7	165	7	2	1245	393
AACS	ENSG00000081760	ENST00000316519	protein_coding	457	2054	4448	7287	3273	68	618	117	2	3978	4439	0	0	0	9	102	102	927	7	238	8	1	1362	117
AADAC	ENSG00000114771	ENST00000232892	protein_coding	241	8316	2618	2304	948	57	378	117	2	936	2600	0	0	0	7317	24	24	225	7	178	8	1	804	117
AADACL2	ENSG00000197953	ENST00000356517	protein_coding	237	3914	2633	1821	516	49	327	117	2	936	2633	0	0	0	2916	24	24	225	7	175	7	2	792	117
AADACL3	ENSG00000188984	ENST00000359318	protein_coding	179	973	2311	1407	0	97	615	117	2	702	2311	0	0	0	45	18	18	171	7	128	8	1	702	117
AADACL4	ENSG00000204518	ENST00000376221	protein_coding	185	5384	2684	1845	1053	0	0	117	2	702	2666	0	0	0	4428	18	18	171	7	134	8	1	854	117
AADAT	ENSG00000109576	ENST00000509167	protein_coding	345	6273	2927	5121	2118	47	351	117	2	3042	2837	0	0	0	4977	78	78	711	7	174	8	1	841	117
AAED1	ENSG00000158122	ENST00000375234	protein_coding	152	686	1454	7710	6546	0	0	117	2	1170	1454	0	0	0	0	30	30	279	7	77	8	1	494	117
AAGAB	ENSG00000103591	ENST00000261880	protein_coding	247	1000	2097	8172	5364	41	315	117	2	2106	2079	0	0	0	18	54	54	495	7	124	8	1	623	702
AAK1	ENSG00000115977	ENST00000409085	protein_coding	1022	13099	6448	29517	24246	148	1131	117	2	4914	6277	0	432	0	10296	126	126	1143	7	323	8	1	2040	117
